지점명,지점코드,총일사량 평균(MJ/m²/day),일조시간 평균(hours/day),station_code,latitude_nearest_station,longitude_nearest_station,irradiance_total_MJ_m2_day,irradiance_direct_Wh_m2_day,sunshine_hours_per_day
춘천,101,13.69,5.53,S_A_0101,37.8813,127.7298,13.69,482,5.53
강릉,105,13.6,5.98,S_A_0105,37.7519,128.891,13.6,490,5.98
서울,108,12.24,5.9,S_A_0108,37.5665,126.978,12.24,474,5.9
원주,114,13.48,5.44,S_A_0114,37.3422,127.9201,13.48,478,5.44
서산,129,13.44,6.15,S_A_0129,36.781,126.4501,13.44,493,6.15
청주,131,13.47,5.96,S_A_0131,36.6424,127.489,13.47,500,5.96
대전,133,14.89,6.18,S_A_0133,36.3504,127.3845,14.89,497,6.18
포항,138,13.53,6.23,S_A_0138,36.019,129.3435,13.53,509,6.23
대구,143,13.33,5.76,S_A_0143,35.8714,128.6014,13.33,520,5.76
전주,146,14,5.76,S_A_0146,35.8242,127.148,14,466,5.76
광주,156,14,5.58,S_A_0156,35.1595,126.8526,14,487,5.58
부산,159,14.67,6.63,S_A_0159,35.1796,129.0756,14.67,535,6.63
목포,165,14.08,5.99,S_A_0165,34.8118,126.3922,14.08,484,5.99
제주,184,13.71,5.13,S_A_0184,33.4996,126.5312,13.71,407,5.13
진주,192,13.62,6.29,S_A_0192,35.1802,128.1076,13.62,506,6.29
영주,272,12.28,5.55,S_A_0272,36.805,128.6246,12.28,551,5.55
